,Name,PTS,AST,REB,FG_PCT,FG3_PCT,FT_PCT,STL,BLK
197,Brandon Ingram,5428.0,1071.0,1542.0,46.0,36.0,74.0,222.0,183.0
388,Myles Turner,4945.0,469.0,2582.0,48.0,33.0,76.0,283.0,866.0
288,Jamal Murray,5639.0,1322.0,1258.0,44.0,37.0,88.0,328.0,109.0
327,Otto Porter Jr.,5872.0,848.0,2655.0,45.0,36.0,81.0,600.0,222.0
278,Donovan Mitchell,6501.0,1184.0,1151.0,44.0,36.0,83.0,346.0,87.0
160,Tim Hardaway Jr.,8455.0,1132.0,1676.0,42.0,35.0,82.0,376.0,83.0
329,Kristaps Porzingis,5272.0,414.0,2218.0,44.0,36.0,81.0,196.0,550.0
352,D'Angelo Russell,7146.0,2103.0,1427.0,42.0,36.0,79.0,442.0,105.0
365,Ben Simmons,4265.0,2067.0,2167.0,56.0,15.0,60.0,448.0,195.0
351,Ricky Rubio,6843.0,4761.0,2577.0,38.0,32.0,84.0,1132.0,80.0
70,Kentavious Caldwell-Pope,6772.0,966.0,1854.0,42.0,36.0,80.0,648.0,120.0
275,Patty Mills,6503.0,1683.0,1212.0,43.0,40.0,84.0,475.0,55.0
411,Hassan Whiteside,5916.0,300.0,5029.0,50.0,19.0,51.0,249.0,1040.0
58,Jaylen Brown,4955.0,576.0,1548.0,47.0,37.0,69.0,303.0,125.0
164,Montrezl Harrell,4859.0,489.0,1958.0,62.0,8.0,63.0,217.0,330.0
314,Patrick Patterson,6032.0,888.0,3461.0,45.0,32.0,74.0,452.0,373.0
114,Jared Dudley,7005.0,1451.0,3052.0,45.0,38.0,69.0,767.0,175.0
238,Alex Len,4815.0,527.0,3625.0,53.0,30.0,65.0,242.0,613.0
363,Pascal Siakam,4527.0,851.0,1877.0,49.0,28.0,74.0,274.0,226.0
196,Joe Ingles,4631.0,1972.0,1739.0,45.0,42.0,76.0,514.0,84.0
310,Kelly Oubre Jr.,5627.0,481.0,2081.0,43.0,32.0,75.0,452.0,257.0
27,Kent Bazemore,6182.0,1286.0,2360.0,41.0,35.0,70.0,736.0,347.0
328,Bobby Portis,4542.0,512.0,2653.0,46.0,38.0,76.0,234.0,136.0
219,Cory Joseph,5029.0,2108.0,1841.0,44.0,32.0,78.0,571.0,162.0
85,John Collins,3742.0,347.0,1937.0,57.0,37.0,78.0,125.0,235.0
55,Malcolm Brogdon,4403.0,1365.0,1189.0,47.0,39.0,89.0,255.0,61.0
1,Bam Adebayo,3345.0,925.0,2197.0,55.0,15.0,74.0,238.0,257.0
118,Wayne Ellington,7030.0,991.0,1833.0,41.0,38.0,85.0,485.0,70.0
48,Avery Bradley,8315.0,1342.0,2067.0,42.0,33.0,79.0,707.0,146.0
386,P.J. Tucker,5664.0,1136.0,4612.0,42.0,33.0,69.0,970.0,264.0
107,Luka Doncic,4804.0,1427.0,1559.0,46.0,33.0,73.0,193.0,73.0
5,Jarrett Allen,3495.0,427.0,2697.0,63.0,21.0,71.0,157.0,454.0
331,Norman Powell,4778.0,604.0,1066.0,46.0,38.0,84.0,355.0,102.0
132,De'Aaron Fox,4781.0,1675.0,907.0,46.0,32.0,72.0,364.0,117.0
264,Doug McDermott,5262.0,552.0,1468.0,46.0,40.0,80.0,128.0,66.0
425,Cody Zeller,3951.0,656.0,2760.0,52.0,30.0,73.0,308.0,312.0
232,Jeremy Lamb,5395.0,823.0,1919.0,43.0,34.0,87.0,386.0,196.0
182,Justin Holiday,5201.0,910.0,1875.0,39.0,34.0,79.0,652.0,261.0
98,Ed Davis,4886.0,595.0,5010.0,54.0,0.0,61.0,384.0,642.0
299,Jusuf Nurkic,4624.0,819.0,3200.0,49.0,7.0,65.0,344.0,511.0
356,Dario Saric,4973.0,816.0,2515.0,44.0,35.0,86.0,259.0,87.0
295,Nerlens Noel,3613.0,510.0,2882.0,58.0,9.0,68.0,590.0,665.0
379,Isaiah Thomas,11118.0,3041.0,1511.0,41.0,34.0,86.0,537.0,64.0
369,Ish Smith,6547.0,3399.0,2149.0,40.0,29.0,59.0,636.0,200.0
292,Larry Nance Jr.,3452.0,741.0,2766.0,54.0,25.0,68.0,528.0,217.0
339,Austin Rivers,6519.0,1673.0,1577.0,42.0,38.0,66.0,504.0,137.0
338,Josh Richardson,4477.0,1036.0,1165.0,43.0,36.0,81.0,390.0,230.0
422,Delon Wright,3588.0,1450.0,1495.0,45.0,35.0,80.0,518.0,169.0
311,Jabari Parker,5782.0,823.0,2298.0,53.0,23.0,65.0,359.0,162.0
154,JaMychal Green,3984.0,423.0,2899.0,50.0,28.0,71.0,278.0,210.0
77,Willie Cauley-Stein,3966.0,651.0,2676.0,57.0,11.0,61.0,383.0,381.0
185,Rodney Hood,6398.0,968.0,1484.0,42.0,36.0,83.0,408.0,105.0
162,Maurice Harkless,4421.0,619.0,2337.0,46.0,33.0,59.0,614.0,412.0
75,Michael Carter-Williams,5123.0,2213.0,2136.0,39.0,25.0,69.0,628.0,259.0
6,Al-Farouq Aminu,5438.0,908.0,4370.0,38.0,26.0,77.0,693.0,406.0
34,Patrick Beverley,4092.0,1560.0,1995.0,42.0,39.0,77.0,532.0,215.0
37,Bismack Biyombo,3546.0,404.0,4238.0,54.0,0.0,56.0,174.0,909.0
184,Richaun Holmes,2974.0,337.0,1793.0,59.0,14.0,73.0,198.0,341.0
65,Trey Burke,5358.0,1692.0,983.0,43.0,37.0,80.0,302.0,57.0
368,Marcus Smart,4473.0,1845.0,1563.0,38.0,32.0,77.0,687.0,169.0
7,Kyle Anderson,2660.0,935.0,1782.0,47.0,31.0,70.0,418.0,241.0
424,Trae Young,4692.0,1729.0,768.0,43.0,35.0,85.0,185.0,34.0
166,Joe Harris,4303.0,644.0,1250.0,44.0,40.0,64.0,191.0,74.0
262,T.J. McConnell,2929.0,2174.0,1290.0,51.0,33.0,75.0,550.0,79.0
