,Name,PTS,AST,REB,FG_PCT,FG3_PCT,FT_PCT,STL,BLK
291,Abdel Nader,892.0,103.0,349.0,43.0,37.0,72.0,68.0,51.0
199,Wes Iwundu,1050.0,220.0,604.0,39.0,21.0,80.0,114.0,55.0
325,Kevin Porter Jr.,823.0,240.0,242.0,43.0,31.0,73.0,63.0,21.0
260,Patrick McCaw,834.0,299.0,367.0,48.0,26.0,72.0,162.0,33.0
267,Alfonzo McKinnie,641.0,52.0,413.0,49.0,34.0,62.0,47.0,24.0
302,Semi Ojeleye,854.0,115.0,522.0,39.0,35.0,71.0,65.0,13.0
294,Georges Niang,1005.0,132.0,380.0,39.0,26.0,83.0,50.0,17.0
187,Talen Horton-Tucker,513.0,141.0,156.0,46.0,29.0,65.0,59.0,21.0
374,Edmond Sumner,521.0,103.0,147.0,57.0,22.0,50.0,54.0,23.0
324,Jordan Poole,921.0,205.0,174.0,38.0,32.0,84.0,54.0,16.0
168,Shaquille Harrison,887.0,265.0,389.0,42.0,15.0,81.0,159.0,56.0
334,Cam Reddish,902.0,122.0,320.0,37.0,30.0,81.0,95.0,37.0
396,Dean Wade,276.0,56.0,169.0,56.0,43.0,38.0,25.0,22.0
382,Matisse Thybulle,520.0,131.0,219.0,42.0,33.0,55.0,178.0,105.0
268,Jordan McLaughlin,436.0,292.0,134.0,44.0,37.0,71.0,78.0,10.0
3,Nickeil Alexander-Walker,687.0,170.0,210.0,39.0,35.0,71.0,57.0,29.0
229,Rodions Kurucs,807.0,123.0,429.0,41.0,39.0,40.0,84.0,38.0
418,D.J. Wilson,692.0,110.0,488.0,42.0,33.0,56.0,38.0,54.0
73,Jevon Carter,637.0,206.0,254.0,38.0,38.0,72.0,93.0,36.0
392,Jarred Vanderbilt,317.0,74.0,323.0,48.0,5.0,63.0,59.0,43.0
80,Gary Clark,698.0,112.0,562.0,31.0,28.0,77.0,56.0,84.0
24,Keita Bates-Diop,775.0,85.0,362.0,42.0,32.0,72.0,65.0,64.0
413,Grant Williams,460.0,117.0,325.0,42.0,30.0,64.0,60.0,54.0
228,Luke Kornet,799.0,138.0,367.0,39.0,31.0,63.0,48.0,120.0
94,Jarrett Culver,760.0,134.0,316.0,41.0,27.0,53.0,74.0,47.0
36,Goga Bitadze,361.0,49.0,225.0,46.0,23.0,74.0,18.0,83.0
226,John Konchar,183.0,59.0,142.0,55.0,43.0,67.0,36.0,10.0
263,Jalen McDaniels,302.0,44.0,156.0,46.0,36.0,78.0,26.0,13.0
364,Chris Silva,197.0,35.0,180.0,57.0,50.0,53.0,11.0,33.0
342,Jerome Robinson,833.0,218.0,337.0,36.0,31.0,70.0,79.0,43.0
111,PJ Dozier,496.0,142.0,233.0,43.0,23.0,47.0,42.0,24.0
258,Garrison Mathews,402.0,35.0,99.0,42.0,40.0,90.0,34.0,7.0
255,Cody Martin,411.0,168.0,284.0,44.0,25.0,61.0,65.0,18.0
242,Nassir Little,368.0,42.0,222.0,45.0,30.0,73.0,18.0,27.0
83,Nicolas Claxton,230.0,43.0,168.0,57.0,17.0,51.0,20.0,38.0
59,Moses Brown,270.0,6.0,270.0,47.0,0.0,50.0,20.0,33.0
254,Caleb Martin,333.0,77.0,162.0,41.0,40.0,71.0,44.0,16.0
257,Frank Mason,695.0,272.0,204.0,41.0,32.0,70.0,55.0,15.0
10,Thanasis Antetokounmpo,214.0,52.0,136.0,59.0,10.0,29.0,26.0,12.0
270,Nicolo Melli,547.0,146.0,348.0,34.0,27.0,87.0,56.0,27.0
346,Isaiah Roby,423.0,90.0,273.0,25.0,17.0,36.0,39.0,32.0
126,Terrance Ferguson,924.0,144.0,263.0,34.0,25.0,59.0,92.0,43.0
272,Chimezie Metu,237.0,40.0,136.0,49.0,10.0,73.0,16.0,21.0
296,Jaylen Nowell,418.0,78.0,102.0,39.0,23.0,88.0,24.0,11.0
155,Javonte Green,381.0,52.0,211.0,43.0,22.0,76.0,64.0,16.0
127,Bruno Fernando,276.0,58.0,262.0,47.0,7.0,62.0,20.0,20.0
78,Chris Chiozza,378.0,235.0,134.0,34.0,38.0,55.0,50.0,15.0
192,Chandler Hutchison,543.0,78.0,379.0,38.0,27.0,76.0,58.0,13.0
207,Ty Jerome,360.0,139.0,119.0,38.0,34.0,74.0,31.0,7.0
44,Isaac Bonga,424.0,113.0,310.0,35.0,21.0,68.0,64.0,34.0
68,Bruno Caboclo,558.0,88.0,350.0,33.0,23.0,51.0,54.0,80.0
42,Bol Bol,100.0,12.0,37.0,51.0,46.0,69.0,4.0,15.0
373,Max Strus,176.0,17.0,27.0,56.0,18.0,82.0,6.0,1.0
318,Gary Payton II,294.0,107.0,189.0,46.0,28.0,43.0,58.0,19.0
147,Brandon Goodwin,416.0,137.0,131.0,35.0,33.0,79.0,26.0,4.0
419,Dylan Windler,161.0,33.0,107.0,44.0,34.0,78.0,19.0,12.0
89,Tyler Cook,196.0,24.0,138.0,57.0,0.0,61.0,16.0,0.0
110,Sekou Doumbouya,432.0,51.0,218.0,37.0,27.0,71.0,40.0,13.0
404,Yuta Watanabe,235.0,42.0,182.0,40.0,30.0,63.0,29.0,18.0
84,Amir Coffey,176.0,33.0,54.0,43.0,36.0,61.0,15.0,2.0
380,Matt Thomas,390.0,50.0,125.0,38.0,34.0,62.0,16.0,1.0
208,Alize Johnson,111.0,17.0,122.0,43.0,36.0,73.0,8.0,7.0
54,Oshae Brissett,89.0,9.0,46.0,48.0,31.0,73.0,8.0,5.0
117,Henry Ellenson,456.0,65.0,272.0,35.0,32.0,66.0,20.0,5.0
283,Juwan Morgan,64.0,13.0,52.0,54.0,32.0,59.0,5.0,2.0
123,Tacko Fall,63.0,3.0,53.0,77.0,0.0,32.0,2.0,16.0
179,Jaylen Hoard,97.0,12.0,65.0,48.0,0.0,71.0,11.0,2.0
256,Kelan Martin,242.0,29.0,122.0,39.0,28.0,98.0,12.0,11.0
116,Carsen Edwards,219.0,34.0,67.0,40.0,31.0,73.0,17.0,5.0
305,KZ Okpala,80.0,16.0,65.0,47.0,13.0,40.0,10.0,9.0
206,DaQuan Jeffries,190.0,25.0,88.0,42.0,26.0,64.0,20.0,13.0
308,Miye Oni,122.0,19.0,87.0,36.0,35.0,82.0,10.0,10.0
367,Alen Smailagic,74.0,14.0,33.0,48.0,32.0,55.0,3.0,7.0
387,Rayjon Tucker,78.0,9.0,28.0,45.0,34.0,86.0,2.0,1.0
393,Gabe Vincent,227.0,59.0,49.0,30.0,26.0,44.0,22.0,2.0
69,Devontae Cacok,44.0,2.0,35.0,56.0,0.0,22.0,5.0,4.0
204,Justin James,135.0,33.0,43.0,42.0,30.0,45.0,9.0,10.0
319,Norvel Pelle,89.0,10.0,102.0,44.0,0.0,48.0,5.0,43.0
406,Paul Watson,173.0,33.0,79.0,34.0,31.0,55.0,14.0,5.0
135,Wenyen Gabriel,140.0,22.0,122.0,39.0,28.0,65.0,23.0,15.0
337,Cameron Reynolds,97.0,13.0,31.0,46.0,21.0,44.0,6.0,2.0
354,Luka Samanic,102.0,19.0,63.0,37.0,31.0,61.0,7.0,8.0
220,Mfiondu Kabengele,110.0,14.0,49.0,35.0,29.0,93.0,10.0,8.0
405,Tremont Waters,90.0,52.0,23.0,33.0,28.0,96.0,21.0,2.0
71,Vlatko Cancar,63.0,13.0,44.0,41.0,21.0,94.0,10.0,3.0
233,Romeo Langford,103.0,21.0,64.0,32.0,23.0,86.0,12.0,11.0
315,Justin Patton,86.0,19.0,60.0,40.0,13.0,31.0,15.0,14.0
50,Jarrell Brantley,63.0,17.0,40.0,41.0,29.0,75.0,6.0,7.0
320,Theo Pinson,203.0,78.0,92.0,25.0,15.0,60.0,23.0,4.0
372,Ray Spalding,112.0,10.0,100.0,39.0,0.0,17.0,18.0,18.0
343,Justin Robinson,34.0,16.0,12.0,38.0,44.0,30.0,3.0,1.0
313,Anzejs Pasecniks,156.0,19.0,108.0,26.0,0.0,29.0,9.0,12.0
158,Kyle Guy,68.0,20.0,23.0,39.0,16.0,42.0,4.0,0.0
279,Adam Mokoka,47.0,9.0,15.0,42.0,26.0,25.0,6.0,1.0
9,Kostas Antetokounmpo,21.0,3.0,23.0,43.0,0.0,49.0,4.0,4.0
43,Jordan Bone,68.0,26.0,28.0,34.0,26.0,0.0,3.0,0.0
323,Vincent Poirier,49.0,10.0,57.0,36.0,25.0,60.0,2.0,12.0
407,Quinndary Weatherspoon,31.0,16.0,13.0,33.0,10.0,69.0,9.0,3.0
236,Jalen Lecque,15.0,4.0,7.0,26.0,0.0,100.0,0.0,0.0
51,Ignas Brazdeikis,21.0,6.0,13.0,7.0,3.0,70.0,0.0,1.0
47,Brian Bowen II,9.0,0.0,10.0,28.0,0.0,50.0,0.0,1.0
163,Jared Harper,4.0,0.0,0.0,12.0,0.0,50.0,0.0,0.0
